,employer,record_date,comment,overall_result,interesting_tasks,equality,communication,working_conditions,supervisor_behavior,dealing_w_older_colleagues,colleague_cohesion,environmental_social awareness,salary_benefits,career_training,work_life_balance,image,overall_number
1459,airbus,Juli 2021,"Starre Struktur, meistens zu viel Arbeit (überfordern und Druck) vieler Mitarbeiter",recommended,3.0,2.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1
1460,vonovia-se,März 2022,Vernünftiges Unternehmen,recommended,2.0,4.0,2.0,1.0,3.0,3.0,4.0,5.0,4.0,1.0,5.0,4.0,1
1461,hellofresh,April 2018,Flexible Arbeitszeiten und gute Arbeitsbedingungen,recommended,3.0,4.0,3.0,4.0,5.0,2.0,3.0,3.0,3.0,3.0,5.0,3.0,1
1462,airbus,Juli 2021,Es kommt auf den Bereich an...,not_recommended,2.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,0
1463,basf-se,November 2021,Ein träger Riese mit Führungsproblem,not_recommended,2.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,0
1464,basf-se,Dezember 2021,Stress - der ständiger Begleiter,recommended,1.0,3.0,3.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,1
1465,airbus,Januar 2022,Top Arbeitgeber mit super Produkten,recommended,5.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,5.0,3.0,3.0,5.0,1
1466,deutsche-boerse,September 2018,Internationaler Arbeitgeber mit Management-Problem,not_recommended,4.0,3.0,3.0,3.0,4.0,2.0,5.0,3.0,4.0,2.0,4.0,2.0,0
1467,continental-gruppe,Dezember 2021,positiv,recommended,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,1
1468,qiagen,April 2019,Besseres Erwartungsmanagement der Führungskräfte/ Transparentere Kommunikation,not_recommended,5.0,2.0,1.0,5.0,2.0,3.0,4.0,3.0,2.0,1.0,3.0,,0
1469,deutsche-telekom,Januar 2022,Verschwendung,not_recommended,,,,,,,,,,,,,0
1470,zalando,Februar 2021,Psychoterror in Trainingsabteilung,not_recommended,5.0,2.0,3.0,1.0,5.0,5.0,4.0,5.0,2.0,2.0,5.0,2.0,0
1471,linde,Mai 2021,"Anlagenbau bewegt sich im anspruchsvollem, gobalen Marktumfeld und Wettbewerb. Dafür stimmen Geld und Kollegen.",recommended,5.0,,5.0,5.0,2.0,5.0,5.0,,5.0,5.0,5.0,4.0,1
1472,zalando,Oktober 2021,Job für den Berufseinstieg,not_recommended,3.0,4.0,1.0,4.0,2.0,3.0,5.0,4.0,3.0,2.0,3.0,3.0,0
1473,continental-gruppe,Dezember 2021,Der Konzern hat mir in meiner gesamten Laufbahn viel gegeben.,recommended,5.0,4.0,3.0,4.0,2.0,2.0,3.0,4.0,2.0,2.0,4.0,3.0,1
1474,hellofresh,November 2017,Ein Job ohne langweilige Routine,recommended,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,5.0,1
1475,adidas,April 2021,Flexible Arbeitszeiten aber keine Rücksicht auf Mütter,recommended,5.0,4.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,5.0,3.0,5.0,1
1476,rwe,September 2021,"Spitzenarbeitgeber, der offen für Neues ist!",recommended,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,1
1477,volkswagen,April 2021,Vieles ist super und es gibt Verbesserungspotential,recommended,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,3.0,1
1478,merckaa,Januar 2020,Einfach ein toller Aebeitgeber,recommended,5.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,1
1479,deutsche-bank,Mai 2020,Viel Schönes dabei,recommended,5.0,5.0,3.0,4.0,2.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,1
1480,sartorius,Januar 2021,"Firma mit Potential, Zukunft im Umbruch",recommended,2.0,4.0,4.0,4.0,5.0,,3.0,4.0,3.0,2.0,3.0,4.0,1
1481,mtuaeroengines,März 2022,Tolles Unternehmen,recommended,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1
1482,infineon-technologies,Dezember 2021,Neue Erfahrung gesammelt .,not_recommended,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,0
1483,henkel-aa,Juni 2021,Keine gute Unternehmenskultur,not_recommended,2.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,0
1484,merckaa,Mai 2020,Super Arbeitgeber,recommended,5.0,5.0,4.0,5.0,4.0,3.0,4.0,5.0,5.0,5.0,3.0,5.0,1
1485,sartorius,März 2022,Moderner Arbeitgeber mit allen Vor- und Nachteilen,recommended,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,1
1486,muenchener-rueckversicherung,Juli 2017,"Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München, 4.0 von 5",recommended,4.0,4.0,4.0,4.0,4.0,2.0,4.0,5.0,5.0,4.0,4.0,5.0,1
1487,daimler-truck3,März 2022,All in all - guter Arbeitgeber mit klassischer Großkonzernmentalität,recommended,5.0,5.0,5.0,5.0,2.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,1
1488,qiagen,Juli 2017,"QIAGEN GmbH, 3.1 von 5",recommended,4.0,3.0,3.0,4.0,4.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,1
1489,linde,Mai 2021,"Gutes Unternehmen, mit Luft nach oben",recommended,,,,,,,,,,,,,1
1490,adidas,August 2020,gut,recommended,4.0,4.0,2.0,4.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,2.0,1
1491,mtuaeroengines,März 2022,Multispace ist nicht schön,not_recommended,4.0,2.0,1.0,1.0,2.0,4.0,1.0,3.0,3.0,3.0,5.0,,0
1492,sap,Mai 2022,"Gutes HR, viele Benefits, viel Flexibilität. Aber: die Technologie stammt zum größten Teil aus den 90er Jahren",recommended,2.0,3.0,5.0,1.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,2.0,1
1493,bmwgroup,April 2022,Experiment gescheitert,recommended,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
1494,hannover-rueckversicherung,Februar 2021,Interessante Grundlagenkurse über Rückversicherung für neue Mitarbeiter,recommended,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,1
1495,volkswagen,Januar 2022,Toller Arbeitgeber,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,1
1496,bayer,Januar 2022,Hohe soziale Sicherheit in einem kollegialen und innovativen Umfeld.,recommended,5.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,3.0,1
1497,mtuaeroengines,März 2022,Desaster,not_recommended,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0
1498,deutsche-bank,April 2021,Kreditentscheider,not_recommended,2.0,4.0,3.0,3.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,0
1499,bayer,Januar 2022,Sehr gutes duales Studium,recommended,,,,,,,,,,,,,1
1500,merckaa,März 2020,Entwicklungsmöglichkeiten gibt es nur auf dem Papier - Keine Anerkennung der Leistungen!,not_recommended,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0
1501,deutsche-bank,September 2021,Trotz vieler Änderung immer noch nicht das Gelbe vom Ei,not_recommended,1.0,2.0,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,0
1502,zalando,Mai 2022,Hohe Anforderungen für geringe Wertschätzung und Gehalt,not_recommended,2.0,2.0,2.0,2.0,2.0,1.0,4.0,3.0,1.0,1.0,2.0,2.0,0
1503,adidas,Dezember 2021,"Meine Arbeit mal stressig, mal ruhig!",recommended,4.0,3.0,3.0,5.0,5.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0,1
1504,rwe,Februar 2020,Arbeitgeber in Ordnung sofern mit gewissen Einschränkungen umgegangen werden kann,recommended,4.0,4.0,2.0,4.0,3.0,4.0,3.0,,4.0,3.0,3.0,,1
1505,merckaa,April 2020,Verwaltung anstatt Business,not_recommended,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,2.0,2.0,5.0,0
1506,sap,April 2022,Sicherer Job,recommended,,3.0,5.0,4.0,,5.0,4.0,5.0,2.0,4.0,5.0,5.0,1
1507,basf-se,April 2022,Gut aber hohe Auslastung,recommended,5.0,5.0,5.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,1
1508,rwe,Mai 2019,Tendenz zu TOPP,recommended,5.0,5.0,3.0,5.0,2.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,1
1509,covestro-deutschland3,Mai 2020,"Viel Gutes, aber auch viel Schlechtes",not_recommended,3.0,1.0,4.0,4.0,1.0,,5.0,3.0,2.0,3.0,,3.0,0
1510,bmwgroup,März 2022,Toller Arbeitgeber,recommended,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
1511,vonovia-se,April 2022,Mehr als nur ein Job,recommended,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,3.0,3.0,1
1512,sartorius,November 2020,Bewerbungsprozess,recommended,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,1
1513,basf-se,Dezember 2021,Höhen und Tiefen,recommended,5.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,3.0,3.0,5.0,4.0,1
1514,bmwgroup,Januar 2022,Top Arbeitgeber,recommended,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
1515,pumagroup,Januar 2022,Weckt den Panter in Dir,recommended,5.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,3.0,5.0,4.0,1
1516,deutsche-bank,Dezember 2021,Verbesserungspotential extrem groß - ist milde ausgedrückt,not_recommended,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
1517,deutsche-telekom,März 2022,Arbeitgeber mit Zukunft,recommended,,,,,,,,,,,,,1
1518,covestro-deutschland3,Januar 2022,Guter Ausbilder,recommended,,,,,,,,,,,,,1
1519,symrise,Dezember 2017,Top Firma mit guten Sozialleistungen und Löhne,recommended,5.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,5.0,3.0,3.0,5.0,1
1520,pumagroup,Juli 2019,Alles in Allem ein akzeptabler Arbeitgeber,not_recommended,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,0
1521,infineon-technologies,Dezember 2021,Rundum positiv und eine wertvolle Erfahrung,recommended,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,1
1522,infineon-technologies,Februar 2022,Unternehmenskultur zum Wohlfühlen,recommended,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,1
1523,mercedes-benz-group,April 2022,gemischtes Bild,not_recommended,5.0,5.0,3.0,2.0,3.0,1.0,5.0,3.0,3.0,2.0,4.0,5.0,0
1524,rwe,Februar 2020,Das Unternehmen ist als Arbeitgeber nicht zu empfehlen,not_recommended,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
1525,basf-se,März 2022,"Very positive environment, kind and supportive management, but complex and bureaucratic HR rules",recommended,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,1
1526,zalando,Mai 2021,Bester Arbeitgeber meiner beruflichen Laufbahn,recommended,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,1
1527,mercedes-benz-group,Mai 2022,Auf das falsche Pferd gesetzt.....,not_recommended,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0
1528,bmwgroup,Januar 2022,Dax Unternehmen mit Renditevorgaben,recommended,2.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,1
1529,fresenius-medical-care,Mai 2020,Sehr angenehmes Arbeitsumfeld,recommended,4.0,5.0,3.0,4.0,2.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,1
1530,sap,April 2022,IT Event Manager,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
1531,mercedes-benz-group,Mai 2022,Postservice,not_recommended,3.0,2.0,,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,0
1532,henkel-aa,Oktober 2021,"Alle Mitarbeiter sind sehr nett, offen und hilfsbereit. Die tariflichen Rahmenbedingungen sind sehr gut.",recommended,,,,,,,,,,,,,1
1533,hellofresh,Oktober 2017,Super Praktikum mit verantwortungsvollen Aufgaben!,recommended,5.0,5.0,4.0,3.0,4.0,,5.0,4.0,4.0,5.0,5.0,4.0,1
1534,porsche-gruppe,April 2021,Ich bin sehr dankbar hier sein zu dürfen,recommended,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
1535,bayer,April 2022,"Sehr gutes Unternehmen bzgl. Arbeitszeit, Sozialleistungen und Vereinbarkeit mit Beruf und Familie",recommended,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,1
1536,hannover-rueckversicherung,April 2020,Auch in schweren Corona-Zeiten ein Top-Arbeitgeber,recommended,4.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,1
1537,fresenius-medical-care,Juli 2019,"Leider ist die Firma lange nicht mehr so toll, wie sie mal war.",not_recommended,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,0
1538,delivery-hero,August 2016,"Auf keinen Fall: ""Finger weg!""",recommended,3.0,5.0,3.0,3.0,3.0,5.0,3.0,2.0,4.0,4.0,3.0,4.0,1
1539,mtuaeroengines,März 2022,Ein paar dinge gibt es,recommended,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,5.0,1
1540,sap,März 2022,Sehr gute fachliche weiterzuentwicklung und sehr gute Work-Life-Balance,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,1
1541,deutsche-post,April 2022,Der Kunde ist wichtig,recommended,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,,4.0,1
1542,linde,März 2021,"Ich kann nur jedem abraten, dort zu arbeiten.",not_recommended,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,0
1543,deutsche-bank,November 2021,Ich kann zufrieden sein,recommended,5.0,5.0,4.0,2.0,4.0,5.0,5.0,4.0,4.0,3.0,5.0,2.0,1
1544,covestro-deutschland3,September 2021,Aussen Hui …innen …… selbe alte „Bruderschaften“,not_recommended,5.0,3.0,5.0,4.0,1.0,2.0,5.0,2.0,3.0,4.0,2.0,1.0,0
1545,eon,März 2022,IT Architect,recommended,5.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,3.0,4.0,3.0,4.0,1
1546,rwe,Juni 2019,Bewertung,recommended,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,1
1547,deutsche-telekom,Februar 2022,Ü55 und Angst vor Jobverlust,not_recommended,3.0,3.0,2.0,5.0,1.0,5.0,3.0,5.0,2.0,4.0,5.0,2.0,0
1548,vonovia-se,Dezember 2021,Schlechter Umgang - mangelhafte Einarbeitung,not_recommended,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0
1549,deutsche-telekom,April 2022,Sicherer Arbeitgeber,recommended,4.0,5.0,4.0,4.0,3.0,5.0,4.0,3.0,5.0,4.0,,3.0,1
1550,hellofresh,Dezember 2021,Cooles Unternehmen mit Aufholbedarf in manchen Bereichen,recommended,3.0,1.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0,4.0,5.0,1
1551,henkel-aa,November 2021,"Freedom to innovate, explore new things and be creative. The company takes care of its own, period.",recommended,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,1
1552,eon,Juni 2021,"Super Firma, tolles Arbeitsklima",recommended,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,5.0,5.0,1
1553,symrise,Juli 2018,"Eine lehrreiche Zeit in einem der größten Chemiekonzerne, mit vielen neue Aspekte in den verschiedensten Bereichen.",recommended,4.0,4.0,3.0,5.0,4.0,2.0,3.0,5.0,4.0,4.0,3.0,4.0,1
1554,fresenius-se,August 2016,Praktikum mit steiler Lernkurver in sehr Angenehmer Atmosphäre im Personalmarketing/Talentmanagement,recommended,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,1
1555,henkel-aa,Juni 2021,Bester Arbeitgeber mit innovativen Lösungen in HR,recommended,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
1556,porsche-gruppe,November 2021,Bester Arbeitsgeber,recommended,5.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,1
1557,pumagroup,Mai 2018,toller Arbeitgeber,recommended,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,1
1558,continental-gruppe,Dezember 2021,"Insgesamt sehr gut, gibt aber natürlich die ein oder anderen Sachen die verbesserungsfähig sind",recommended,5.0,5.0,4.0,3.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,1
1559,merckaa,April 2022,Familienfreundlich und flexibel mit tollen Angeboten für Mitarbeiter.,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
1560,sap,Mai 2022,Hier kann jeder was finden,recommended,4.0,5.0,4.0,5.0,5.0,5.0,5.0,,4.0,5.0,5.0,4.0,1
1561,merckaa,Dezember 2019,Viel Show. Gut für Laute Leute.,recommended,3.0,2.0,3.0,1.0,5.0,4.0,4.0,5.0,1.0,3.0,5.0,3.0,1
1562,adidas,Dezember 2021,Sehr lehrreich,recommended,2.0,3.0,4.0,4.0,2.0,3.0,4.0,2.0,,2.0,3.0,4.0,1
1563,deutsche-telekom,Februar 2022,Super Empathischer Arbeitgeber,recommended,,,,,,,,,,,,,1
1564,deutsche-boerse,September 2020,Umgang im HR Bereich ist unterirdisch!,not_recommended,2.0,1.0,3.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,0
1565,infineon-technologies,Dezember 2021,"aufschlussreich, bemüht",recommended,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,1
1566,sartorius,Mai 2021,Tolle Firma!,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
1567,sartorius,August 2020,"Gute Kollegen, aggressive und respektlose Führung",not_recommended,3.0,4.0,1.0,5.0,5.0,4.0,2.0,4.0,3.0,4.0,2.0,5.0,0
1568,daimler-truck3,März 2022,Top Arbeitgeber,recommended,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,1
1569,muenchener-rueckversicherung,Mai 2018,Bewertung,recommended,4.0,2.0,2.0,4.0,1.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,1
1570,adidas,April 2021,"Toller Arbeitgeber mit vielen Möglichkeiten, es wird aber auch viel gefordert",recommended,4.0,5.0,5.0,4.0,3.0,2.0,3.0,4.0,4.0,5.0,3.0,5.0,1
1571,sartorius,Mai 2021,Bester Arbeitgeber,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
1572,airbus,Juni 2021,Ein Arbeitgeber mit opportunistischer Führung,not_recommended,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
1573,siemens,Februar 2022,Unfairen Arbeitgeber,not_recommended,3.0,1.0,2.0,3.0,2.0,4.0,4.0,3.0,5.0,3.0,2.0,3.0,0
1574,hannover-rueckversicherung,Mai 2019,Der wahre Traumjob,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
1575,delivery-hero,Februar 2019,So viel Potential,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,1
1576,qiagen,April 2019,"Veränderungen (in der Führung) gehören dazu, sind aber leider nicht immer positiv",not_recommended,4.0,2.0,2.0,4.0,1.0,4.0,4.0,2.0,2.0,3.0,2.0,3.0,0
1577,merckaa,Dezember 2021,"Es war ein interessantes, spannendes Praktikum das mir einen Einblick in ein internationalen Konzern gewähren konnte.",recommended,3.0,5.0,4.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,1
1578,deutsche-bank,April 2022,Karriere in Teilzeit kann man vergessen,not_recommended,2.0,2.0,1.0,3.0,2.0,1.0,2.0,3.0,3.0,1.0,4.0,2.0,0
1579,muenchener-rueckversicherung,September 2017,mal so- mal so,recommended,3.0,3.0,3.0,4.0,3.0,,4.0,4.0,3.0,3.0,4.0,4.0,1
1580,deutsche-post,April 2022,Es war einmal gut ! Heute ist es eine Katastrophe,not_recommended,3.0,3.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,2.0,2.0,0
1581,pumagroup,Juni 2018,Top Arbeitgeber - besser geht es nicht!,recommended,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,1
1582,adidas,Dezember 2021,"es ist ein sehr gutes praktikum, dass ich sehr weiter empfehlen würde",recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,1
1583,adidas,Dezember 2021,it was good,recommended,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1
1584,vonovia-se,Januar 2022,Vonovia Hannover,not_recommended,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
1585,henkel-aa,Januar 2022,"Toller Arbeitgeber, der in der Klebstoffsparte aber noch sehr konservativ führt",recommended,5.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,4.0,1
1586,zalando,Oktober 2021,Zalando,recommended,4.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,1
1587,sap,März 2022,SAP Se,recommended,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,1
1588,adidas,Mai 2022,Super Campus aber intern politisch,not_recommended,4.0,1.0,2.0,3.0,2.0,1.0,2.0,4.0,2.0,3.0,5.0,2.0,0
1589,adidas,Dezember 2021,nett,not_recommended,1.0,1.0,5.0,3.0,3.0,2.0,5.0,5.0,3.0,1.0,4.0,1.0,0
1590,airbus,November 2020,Gute Branche - Wachsender Frust,not_recommended,4.0,4.0,2.0,4.0,2.0,4.0,3.0,5.0,5.0,3.0,3.0,2.0,0
1591,merckaa,August 2021,"Destruktive Führung wird gelebt und toleriert,das kollegiale Miteinander ist sehr gut,",not_recommended,2.0,2.0,3.0,4.0,3.0,2.0,5.0,3.0,3.0,3.0,5.0,3.0,0
1592,airbus,April 2021,Arbeitgeber mit Ecken und Kanten,not_recommended,4.0,4.0,3.0,1.0,2.0,4.0,4.0,3.0,4.0,1.0,2.0,2.0,0
1593,merckaa,April 2021,Bester und Familienfreundlichster Arbeitgeber Deutschlands ❤️,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
1594,infineon-technologies,Dezember 2021,"Gut: 3,8 von 5 Sternen",not_recommended,4.0,2.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,0
1595,brenntag,Februar 2019,"Das Arbeitesumfeld stimmt überhaupt nicht mehr, wer mit Vorgesetzten gut kann kommt irgendwie weiter!",not_recommended,4.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,0
1596,porsche-gruppe,September 2021,22Jahre dabei und durchgehend gerne dabei,recommended,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,1
1597,brenntag,Oktober 2017,Zukunftsfähig - Nur wenn sich die Brenntag mal die sehr alte Technik erneuert,not_recommended,3.0,4.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0
1598,symrise,Juni 2018,Room for improvement,recommended,5.0,5.0,3.0,3.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,5.0,1
1599,rwe,Juni 2021,"RWE Renewables: tolles Arbeitsklima, spannende Projekte, viele Möglichkeiten zur Weiterentwicklung, gute Vergütung",recommended,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,1
1600,linde,Januar 2022,Es geht alles nach Rumänien,not_recommended,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,1.0,3.0,3.0,0
1601,infineon-technologies,Dezember 2021,learningful and fun,recommended,3.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,3.0,1
1602,qiagen,Februar 2020,Schlechte Unternehmensphilosophie und schlechtes mittleres Management,not_recommended,3.0,5.0,1.0,4.0,2.0,3.0,3.0,4.0,1.0,2.0,3.0,4.0,0
1603,symrise,September 2018,Der Trend geht zu einem anderen Haupt Standort.,not_recommended,4.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,2.0,4.0,0
1604,mtuaeroengines,März 2022,Toller Arbeitgeber,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
1605,rwe,März 2021,Perfekt,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
1606,porsche-gruppe,Februar 2022,Das Paradies für MS Office Ingenieure & Terminplanverfolger,not_recommended,1.0,1.0,1.0,3.0,2.0,4.0,3.0,3.0,4.0,1.0,2.0,3.0,0
1607,adidas,April 2022,außen hui innen pfui,not_recommended,3.0,2.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,0
1608,porsche-gruppe,September 2021,Traumarbeitgeber mit einigen Schwächen,recommended,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,1
1609,mtuaeroengines,März 2022,"Super Praktikum mit eigenem, selbstständigem Projekt, flexiblen Arbeitszeiten und angenehmer Atmosphäre.",recommended,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,1
1610,symrise,Dezember 2017,Super Arbeitgeber,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
1611,deutsche-bank,Juni 2020,Berater Wealth Management,not_recommended,4.0,4.0,1.0,3.0,3.0,1.0,2.0,4.0,4.0,4.0,2.0,1.0,0
1612,hannover-rueckversicherung,März 2016,Spannend und interessant .. auch nach 18 Jahren,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
