,employer,record_date,comment,overall_result,interesting_tasks,equality,communication,working_conditions,supervisor_behavior,dealing_w_older_colleagues,colleague_cohesion,environmental_social awareness,salary_benefits,career_training,work_life_balance,image,overall_number
1730,porsche-gruppe,Februar 2022,IT Projektleiter,recommended,5.0,5.0,3.0,3.0,2.0,5.0,3.0,5.0,4.0,1.0,3.0,5.0,1
1731,hellofresh,Juni 2021,Tolle Kultur und sehr wertschätzender Arbeitgeber,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,1
1732,sap,Mai 2022,"TOP-Arbeitgeber mit interessantem Aufgabenspektrum, super Arbeitsatmosphäre und individueller Arbeitszeitgestaltung",recommended,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,1
1733,brenntag,April 2019,"Key Account Management- sehr Komplex, und die Anforderungen werden oft unterschätzt",recommended,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,3.0,2.0,1
1734,infineon-technologies,Januar 2022,Gute Entscheidung,recommended,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,1
1735,bmwgroup,Januar 2022,Super Arbeitgeber,recommended,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
1736,eon,Juli 2021,Mehr Schatten als Licht,not_recommended,4.0,3.0,2.0,3.0,1.0,2.0,3.0,1.0,5.0,2.0,1.0,3.0,0
1737,deutsche-boerse,Juni 2018,Außergewöhnlich guter Arbeitgeber in spannendem Umfeld,recommended,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,1
1738,eon,November 2020,Konzern im Wandel,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,1
1739,deutsche-bank,Mai 2022,Leistung aus Leidenschaft ;-),recommended,4.0,5.0,3.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,1
1740,linde,Oktober 2021,Schlechter Arbeitgeber,not_recommended,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0
1741,infineon-technologies,Januar 2022,Rapide wachsender Markt mit vielen chancen,recommended,5.0,3.0,3.0,5.0,4.0,5.0,5.0,3.0,4.0,2.0,4.0,5.0,1
1742,basf-se,November 2021,Nicht zu empfehlen!,not_recommended,,4.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,0
1743,vonovia-se,März 2022,Es geht um die Vonovia Technicher Service,not_recommended,4.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,,0
1744,sartorius,Dezember 2021,Praxis und Theorie in einem,recommended,4.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,1
1745,brenntag,Dezember 2019,gibt es viele,recommended,3.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,1
1746,hellofresh,Juni 2019,"Am Anfang gut, danach nicht so ganz",not_recommended,3.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,0
1747,henkel-aa,September 2020,"Eigenverantwortliches Handeln, Praktikanten als Teil des Teams, sich strukturieren, Stressmanagament",recommended,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,4.0,1
1748,fresenius-medical-care,Oktober 2021,6 monatiges freiwilliges Praktikum im Projektmanagement Bereich,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,1
1749,rwe,Juli 2019,Ein Spitzenarbeitgeber mit herausragender Unternehmenskultur,recommended,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,1
1750,mtuaeroengines,März 2022,Arbeitsplatzbewertung,recommended,4.0,5.0,4.0,,4.0,5.0,5.0,,5.0,4.0,4.0,5.0,1
1751,bmwgroup,Dezember 2021,Good,not_recommended,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,0
1752,rwe,März 2019,In unserer Abteilung ist eine sehr gute Stimmung und zusammenhalt,recommended,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,2.0,5.0,1
1753,infineon-technologies,April 2022,Großartiger Arbeitgeber,recommended,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
1754,eon,Juli 2021,Anwaltsstation im Rahmen des Rechtsreferendariats,recommended,,,,,,,,,,,,,1
1755,basf-se,Oktober 2021,Diszipliniert und qualitativ die Ausbildung hat viele Vorteile aber auch Nachteile.,recommended,,,,,,,,,,,,,1
1756,basf-se,Dezember 2021,Höhen und Tiefen,recommended,5.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,3.0,3.0,5.0,4.0,1
1757,bayer,September 2021,"Ansich ok, aber...",recommended,1.0,1.0,4.0,3.0,1.0,5.0,1.0,,3.0,1.0,2.0,,1
1758,sap,April 2022,Guter Arbeitgeber und gute Bezahlung,recommended,3.0,5.0,3.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,1
1759,bmwgroup,Dezember 2021,Alles okay,not_recommended,3.0,4.0,2.0,4.0,4.0,3.0,1.0,2.0,,4.0,5.0,2.0,0
1760,daimler-truck3,Juni 2021,Sozialschwach,not_recommended,3.0,3.0,1.0,3.0,1.0,1.0,3.0,,1.0,1.0,1.0,,0
1761,airbus,März 2021,Dual student of logistics management,recommended,,,,,,,,,,,,,1
1762,airbus,März 2021,Gute Bezahlung bei mittleren,not_recommended,4.0,5.0,2.0,3.0,2.0,5.0,4.0,2.0,5.0,4.0,5.0,4.0,0
1763,qiagen,Mai 2019,QIAGEN war eine gute Erfahrung,recommended,4.0,5.0,4.0,4.0,4.0,5.0,4.0,,4.0,4.0,5.0,5.0,1
1764,rwe,Mai 2022,Sehr guter Arbeitgeber jedoch mit einigen kleinen Schwächen.,recommended,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,,1
1765,mercedes-benz-group,Dezember 2021,Nach meiner Auffassung war das absolvierende Praktikum im Rahmen des Studiums etwas gelassen und einigermaßen bezahlt,not_recommended,4.0,2.0,4.0,2.0,2.0,4.0,1.0,3.0,2.0,4.0,2.0,3.0,0
1766,adidas,Dezember 2021,Great,recommended,4.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,1
1767,fresenius-medical-care,Februar 2020,"Wenn die Unternehmenswerte nicht eingehalten werden, können das selbst die guten Benefits nicht ausgleichen",not_recommended,4.0,2.0,3.0,3.0,1.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,0
1768,continental-gruppe,Januar 2022,"Kein Unternehmen, dem es um Gerechtigkeit und Fairness geht",not_recommended,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,0
1769,volkswagen,Oktober 2021,Sehr guter Arbeitsplatz für Leute mit einschränkungen.,recommended,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,1
1770,pumagroup,März 2020,Super Arbeitgeber und gute Unterstützung während der Corona Krise,recommended,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,1
1771,fresenius-se,Februar 2015,Studentischer Praktikant,not_recommended,3.0,4.0,4.0,3.0,5.0,4.0,4.0,3.0,1.0,1.0,3.0,2.0,0
1772,deutsche-telekom,März 2022,Arbeitgeber mit Zukunft,recommended,,,,,,,,,,,,,1
1773,pumagroup,Mai 2018,Miserabel,not_recommended,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,0
1774,adidas,September 2021,"Außen hui, innen pfui trifft den Nagel auf den Kopf",not_recommended,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0
1775,henkel-aa,September 2020,"Sehr guter Arbeitgeber. Der gerade in der schwierigen Zeit, voll hinter seinen Angestellten steht!",recommended,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,1
1776,delivery-hero,November 2019,"Nicht zu empfehlen! Unbezahlte Überstunden, totale Kontrolle, enormer Druck.",not_recommended,2.0,2.0,1.0,3.0,1.0,1.0,2.0,,1.0,1.0,1.0,2.0,0
1777,rwe,Februar 2021,Das wohl schlimmste was einem in seiner beruflichen Welt passieren kann,not_recommended,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
1778,hannover-rueckversicherung,Mai 2021,Nice place to work,recommended,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,1
1779,vonovia-se,März 2022,Monteuer Vts Gebiet Koeln,not_recommended,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0
1780,henkel-aa,Dezember 2021,Alles in allem eine tolle und sehr wertvolle Erfahrung die mich auf jeden Fall weiterbringen wird.,recommended,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,5.0,1
1781,deutsche-telekom,Februar 2022,Viel Druck und unfaire Behandlung,not_recommended,,,,,,,,,,,,,0
1782,bayer,Dezember 2021,8/10 I would like to have more things assigned to me,recommended,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,3.0,5.0,4.0,1
1783,zalando,August 2021,Max. 1 Jahr länger möchte man dort nicht Arbeiten,not_recommended,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,0
1784,infineon-technologies,Januar 2022,Tolles Unternehmen mit spannenden Projekten und internationalem Arbeitsumfeld,recommended,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,1
1785,sap,April 2022,Mein Traumarbeitgeber seit über 20 Jahren,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
1786,airbus,April 2022,Airbus ist Airbus und Airbus Manching ist Airbus Manching...,recommended,3.0,3.0,3.0,3.0,2.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0,1
1787,vonovia-se,Mai 2022,Nette Arbeitskollegen aber unübersichtliche Prozessabläufe.,not_recommended,3.0,5.0,3.0,4.0,4.0,5.0,4.0,3.0,1.0,4.0,3.0,2.0,0
1788,sartorius,Juli 2021,"Hyper agiles Umfeld, interessante Aufgaben, unaufhörliche Herausforderungen, gute - überdurchschnittliche Bezahlung",recommended,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,1
1789,volkswagen,August 2021,Langweilig,recommended,,,,,,,,,,,,,1
1790,pumagroup,Juni 2018,"Es wird viel geboten, gute Unternehmensgröße!",recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
1791,porsche-gruppe,Oktober 2021,"Porsche nicht so altbacken, wie man denken mag",recommended,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,1
1792,adidas,Juli 2021,Es war einmal…,not_recommended,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,0
1793,merckaa,April 2021,Bester und Familienfreundlichster Arbeitgeber Deutschlands ❤️,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
1794,covestro-deutschland3,Juni 2019,"Das Unternehmen bietet herausfordernde Aufgaben, realtiv gute Lohn und Sozialleistungen. Work-Life Balance nur ok.",recommended,5.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,1
1795,infineon-technologies,Januar 2022,NICHT EMPFEHLENSWERT,not_recommended,1.0,4.0,4.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,0
1796,airbus,November 2021,"Nicht alles ist Gold, was glänzt.",recommended,4.0,3.0,2.0,4.0,3.0,5.0,3.0,4.0,4.0,2.0,3.0,5.0,1
1797,infineon-technologies,Dezember 2021,Overall I believe the internship helped me a lot in my development. I got exposure to the industry and the technologies.,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,1
1798,porsche-gruppe,Dezember 2021,"Viel gelernt, entspanntes Umfeld, spannende Einblicke ins Unternehmen",recommended,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,1
1799,qiagen,Mai 2019,"Vereinbarkeit von Job und Familie wird kontinuierlich verbessert, es gibt aber noch Luft nach oben",recommended,5.0,4.0,2.0,4.0,5.0,5.0,5.0,2.0,2.0,3.0,5.0,5.0,1
1800,pumagroup,Juli 2018,Praktikant im Product Line Management,recommended,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,,5.0,5.0,1
1801,basf-se,November 2021,Ein Wandel ist dringend erforderlich,recommended,3.0,4.0,4.0,2.0,1.0,4.0,4.0,2.0,3.0,1.0,3.0,4.0,1
1802,adidas,Dezember 2021,Ich bin meistens motiviert und habe gute ideen,recommended,3.0,3.0,3.0,4.0,3.0,2.0,4.0,2.0,4.0,3.0,4.0,4.0,1
1803,siemens,Februar 2022,"Zufriedenstellende Arbeitgeber, viele Freiheiten und Möglichkeiten zur Um Orientierung / Aufstieg",recommended,5.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,1
1804,deutsche-post,Mai 2022,Sehr zufrieden die pe personal und collegen,recommended,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,4.0,5.0,5.0,1
1805,eon,April 2021,Zwiespalt,not_recommended,4.0,4.0,2.0,5.0,3.0,3.0,5.0,3.0,3.0,3.0,2.0,2.0,0
1806,bmwgroup,März 2022,Top Arbeitgeber,recommended,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,1
1807,deutsche-telekom,März 2022,Top Arbeitsgeber,recommended,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,1
1808,volkswagen,April 2021,Vieles ist super und es gibt Verbesserungspotential,recommended,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,3.0,1
1809,deutsche-bank,April 2021,Kreditentscheider,not_recommended,2.0,4.0,3.0,3.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,0
1810,mercedes-benz-group,März 2022,Viel Arbeit -zu wenig Entlohnung,recommended,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,4.0,1
1811,deutsche-bank,Juli 2020,Arbeitgeber mit allen Möglichkeiten,recommended,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,,4.0,4.0,1
1812,volkswagen,Dezember 2021,Praktikum mit vielseitigen Aufgaben und Einblicken,recommended,4.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,1
1813,fresenius-se,April 2021,"Guter Arbeitgeber, faire Arbeitsbedingungen, Top Klima",recommended,3.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,1
1814,delivery-hero,März 2022,Solid workplace if you don't have ambitions,not_recommended,4.0,3.0,4.0,3.0,2.0,,4.0,5.0,3.0,1.0,3.0,2.0,0
1815,bayer,Juni 2021,Werkschutz bei Bayer - Finger von lassen,not_recommended,1.0,1.0,1.0,5.0,1.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,0
1816,mtuaeroengines,März 2022,Top und immer auf Höhe der Zeit,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,1
1817,vonovia-se,Januar 2022,schlechtester Arbeitgeber in 45 Berufsjahren (Ausbeutungsverein),not_recommended,1.0,,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0
1818,deutsche-bank,Mai 2022,Deutsche Bank als Arbeitgeber,recommended,3.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,1
1819,sartorius,Mai 2020,"BUF hat bei Sartorius größte Priorität!!!
Ich bin glücklich ein Teil davon zu sein!",recommended,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,1
1820,brenntag,Dezember 2020,Angestaubter Platzhirsch der Chemiedistribution,not_recommended,2.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,1.0,4.0,3.0,0
1821,bayer,Februar 2022,Eine Ausbildung bei Bayer AG zum Lagerlogistiker wärend Covid-19,recommended,,,,,,,,,,,,,1
1822,linde,September 2020,"Kaum bestehender Kontakt zum ""Vollzeit Ausbilder""",not_recommended,,,,,,,,,,,,,0
1823,airbus,August 2021,Ambivalenter Arbeitgeber,not_recommended,2.0,4.0,1.0,2.0,3.0,4.0,4.0,1.0,5.0,1.0,3.0,4.0,0
1824,hannover-rueckversicherung,Oktober 2019,Tolle Work-Life-Balance und hohe Vergütiung.,recommended,5.0,4.0,5.0,2.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,1
1825,continental-gruppe,April 2022,"Toller Arbeitgeber! Schön, wenn man gerne in die Arbeit geht.",recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
1826,zalando,März 2021,Katastrophe,not_recommended,1.0,2.0,2.0,1.0,4.0,4.0,2.0,1.0,2.0,2.0,1.0,3.0,0
1827,deutsche-post,Mai 2022,Alles zurück auf Anfang.,not_recommended,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,1.0,1.0,1.0,0
1828,adidas,April 2021,Gut mit Potenzial nach oben,recommended,4.0,3.0,4.0,2.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,5.0,1
1829,deutsche-boerse,Mai 2022,Toxische Arbeitsatmosphäre bei HR,not_recommended,4.0,4.0,1.0,,3.0,,3.0,,1.0,3.0,2.0,2.0,0
1830,hannover-rueckversicherung,Mai 2020,Nur Lob!,recommended,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
1831,porsche-gruppe,November 2021,Bester Arbeitsgeber,recommended,5.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,1
1832,bmwgroup,April 2022,Für Spezialisten nicht besonders attraktiv,not_recommended,2.0,2.0,2.0,1.0,3.0,1.0,4.0,4.0,2.0,2.0,4.0,4.0,0
1833,linde,November 2020,Sehr gute Firma mit hohem Qualitätsstandard‘s,recommended,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,1
1834,continental-gruppe,Mai 2022,Rette sich wer kann,not_recommended,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0
1835,vonovia-se,November 2021,Nicht zu empfehlen,not_recommended,3.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,3.0,1.0,0
1836,deutsche-boerse,Februar 2021,Ein sehr guter und sicherer Ausbildungsbetrieb,recommended,,,,,,,,,,,,,1
1837,siemens,Januar 2022,"Durch meine Initiativbewerbung und meine Arbeit im Homeoffice läuft es aktuell nicht optimal,dennoch gute Aufgaben",recommended,5.0,5.0,3.0,4.0,3.0,5.0,3.0,4.0,5.0,3.0,5.0,5.0,1
1838,sartorius,Mai 2021,DER Arbeitgeber in der Region Göttingen // Arbeiten in großartigen Teams,recommended,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,1
1839,hellofresh,Oktober 2017,Wirklich moderner Arbeitgeber,recommended,3.0,5.0,4.0,3.0,5.0,,5.0,5.0,5.0,,5.0,5.0,1
1840,continental-gruppe,Februar 2022,Guter Arbeitgeber und Global Player,recommended,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,5.0,5.0,1
1841,rwe,Mai 2021,MA zweiter Klasse & AG zahlt kein Gehalt,not_recommended,1.0,,1.0,,1.0,,2.0,,1.0,1.0,3.0,1.0,0
1842,hellofresh,Februar 2022,Burnout delivered in a HelloFresh box,not_recommended,,1.0,1.0,3.0,1.0,,2.0,,1.0,,1.0,1.0,0
1843,henkel-aa,November 2020,Tolles Arbeitsklima mit super Weiterbildungsmöglichkeiten!,recommended,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,1
1844,hannover-rueckversicherung,April 2015,nichts für kreative und/oder junge Leute,not_recommended,1.0,3.0,1.0,2.0,2.0,4.0,3.0,3.0,3.0,1.0,3.0,1.0,0
1845,eon,Januar 2021,"Angenehme Arbeit, mehr auch nicht!",not_recommended,1.0,3.0,4.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,,0
1846,airbus,Oktober 2021,Hervorragend!,recommended,5.0,5.0,3.0,5.0,4.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0,1
1847,qiagen,Dezember 2017,"Nach außen hin besser dargestellt, als die Realität ist.",not_recommended,4.0,5.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0,4.0,2.0,0
1848,covestro-deutschland3,Juni 2021,Enttäuschend. Unorganisiert. Eingerostet.,not_recommended,4.0,1.0,1.0,3.0,5.0,3.0,3.0,4.0,1.0,4.0,3.0,3.0,0
1849,deutsche-bank,November 2020,Super chefs.,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,1
1850,fresenius-se,Juni 2018,Alles in allem solide,recommended,3.0,3.0,2.0,3.0,4.0,4.0,2.0,4.0,3.0,1.0,5.0,4.0,1
1851,merckaa,April 2022,Steigt und fällt mit der Führungskraft und mittlerem Managment,recommended,5.0,4.0,3.0,4.0,1.0,5.0,5.0,5.0,4.0,1.0,3.0,5.0,1
1852,deutsche-boerse,April 2021,Werkstudent,recommended,2.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,1
1853,daimler-truck3,Januar 2022,hmmm,not_recommended,4.0,4.0,2.0,3.0,1.0,1.0,1.0,3.0,4.0,2.0,4.0,4.0,0
1854,airbus,November 2021,Großkonzern mit viel Verbesserungspotenzial,not_recommended,4.0,3.0,4.0,4.0,2.0,5.0,4.0,3.0,4.0,2.0,4.0,4.0,0
1855,henkel-aa,April 2021,Gibt keinen besseren als Henkel!,recommended,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,,5.0,1
1856,daimler-truck3,Januar 2022,Good place to work,recommended,3.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,1
1857,hellofresh,Januar 2021,Bisher ungeschlagen als Arbeitgeber!,recommended,5.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,1
1858,covestro-deutschland3,April 2022,"Super Arbeitgeber, fördert und fordert in richtigen Maß und man gewinnt viel Anerkennung",recommended,4.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
1859,volkswagen,April 2022,Top Arbeitgeber,recommended,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,1
1860,infineon-technologies,Dezember 2021,"sehr interessant, gerade wenn man vorher noch nicht gearbeitet hat und/oder sich für Halbleiterfertigung interessiert.",recommended,4.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,3.0,5.0,4.0,1
1861,symrise,April 2022,Zufriedenstellend,recommended,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,1
1862,sap,April 2022,Sicherer Job,recommended,,3.0,5.0,4.0,,5.0,4.0,5.0,2.0,4.0,5.0,5.0,1
1863,sap,März 2022,Guter Deal bei SAP,recommended,5.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,1
1864,basf-se,Januar 2022,Kein Job für die Ewigkeit,not_recommended,5.0,2.0,3.0,4.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,0
1865,deutsche-boerse,November 2017,nicht empfehlenswert,not_recommended,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
1866,mercedes-benz-group,Mai 2022,Auf das falsche Pferd gesetzt.....,not_recommended,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0
1867,porsche-gruppe,April 2022,"Fragwürdige Personalpolitik und sonstige Fragwürdigkeiten, Weiterentwicklung so unmöglich = keine Innovation",not_recommended,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0
1868,airbus,Februar 2021,"Was soll man da für eine Überschrift wählen...
Macht doch keinen Sinn..",not_recommended,4.0,3.0,1.0,2.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,3.0,0
1869,symrise,November 2019,Ein sozialer Arbeitgeber der aber beim Gehalt abstriche macht.,recommended,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,5.0,1
1870,rwe,Mai 2019,TOP ARBEITGEBER,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,,1
1871,delivery-hero,Mai 2018,Delivery Hero AG Erfahrungsbericht,not_recommended,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0
1872,vonovia-se,März 2022,Nur etwas für Hartgesottene,not_recommended,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0
1873,volkswagen,April 2021,"Top Arbeitgeber, geht auf Bedürfnisse der MA ein und schafft neue Möglichk. zur Vereinbarkeit von Familie und Beruf",recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1
1874,infineon-technologies,Dezember 2021,Sehr Interessanter Einblick in die berufliche Praxis in meinem Themengebiet.,recommended,4.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,4.0,3.0,5.0,4.0,1
1875,qiagen,Juli 2020,Licht und Schatten,recommended,4.0,5.0,2.0,3.0,2.0,4.0,5.0,2.0,4.0,2.0,4.0,4.0,1
1876,deutsche-boerse,Oktober 2020,Personalabteilung in absoluter Schieflage,recommended,4.0,,2.0,4.0,1.0,5.0,3.0,,4.0,2.0,2.0,,1
1877,symrise,August 2019,"guter arbeitgeber, erfolgreich, sehr sozial, bin stolz dort zu arbeiten",recommended,4.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,5.0,1
1878,delivery-hero,Dezember 2018,Bullying from manager,not_recommended,,1.0,1.0,,,,3.0,1.0,1.0,1.0,,1.0,0
1879,muenchener-rueckversicherung,April 2018,Das Unternehmen war mal etwas besonderes...,not_recommended,4.0,2.0,1.0,1.0,3.0,1.0,4.0,2.0,3.0,1.0,5.0,4.0,0
1880,vonovia-se,November 2021,Grundsolide mit attraktiven Konditionen,recommended,5.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,1.0,1
1881,deutsche-bank,November 2021,Ich kann zufrieden sein,recommended,5.0,5.0,4.0,2.0,4.0,5.0,5.0,4.0,4.0,3.0,5.0,2.0,1
1882,siemens,Januar 2022,No good place to work,not_recommended,5.0,5.0,5.0,1.0,1.0,5.0,1.0,3.0,3.0,1.0,1.0,5.0,0
1883,airbus,April 2021,Data Analyst,recommended,5.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,1
